,Tit,Cur,Int,Cuat,Acr,Nombre,Fecha
131,Ingenieria de Tecnologias de Telecomunicacion,1,,2,ED,Ecuaciones diferencias y Caculo Numerico,"Lunes, 10 de Julio"
132,Ingenieria de Tecnologias de Telecomunicacion,1,,2,EO,Estadistica y Optimizacion,"Martes, 18 de Julio"
133,Ingenieria de Tecnologias de Telecomunicacion,1,,2,FFI,Fundamentos Fisicos de la Ingenieria,"Viernes, 14 de Julio"
134,Ingenieria de Tecnologias de Telecomunicacion,1,,2,SL,Sistemas Lineales,"Jueves, 6 de Julio"
135,Ingenieria de Tecnologias de Telecomunicacion,2,,2,CI,Comunicaciones I,"Miercoles, 19 de Julio"
136,Ingenieria de Tecnologias de Telecomunicacion,2,,2,EA,Electronica Analogica,"Viernes, 7 de Julio"
137,Ingenieria de Tecnologias de Telecomunicacion,2,,2,ED,Electronica Digital,"Jueves, 13 de Julio"
138,Ingenieria de Tecnologias de Telecomunicacion,2,,2,IR,Infraestructuras y redes de comunicaciones,"Jueves, 6 de Julio"
139,Ingenieria de Tecnologias de Telecomunicacion,2,,2,SD,Senales Digitales,"Martes, 11 de Julio"
140,Ingenieria de Tecnologias de Telecomunicacion,3,SE,2,CERF,Circuitos electronicos para radiofrecuencia,"Viernes, 7 de Julio"
141,Ingenieria de Tecnologias de Telecomunicacion,3,SE,2,DCSE,Diseno de circuitos y sistemas electronicos,"Miercoles, 12 de Julio"
142,Ingenieria de Tecnologias de Telecomunicacion,3,SE,2,EM,Electronica de microondas,"Lunes, 10 de Julio"
143,Ingenieria de Tecnologias de Telecomunicacion,3,SE,2,IE,Instrumentacion electronica,"Martes, 18 de Julio"
144,Ingenieria de Tecnologias de Telecomunicacion,3,SE,2,SAL,Sistemas de alimentacion,"Viernes, 14 de Julio"
145,Ingenieria de Tecnologias de Telecomunicacion,3,ST,2,AP,Antenas y propagacion,"Viernes, 7 de Julio"
146,Ingenieria de Tecnologias de Telecomunicacion,3,ST,2,MCO,Medios y componentes opticos para comunicaciones,"Miercoles, 12 de Julio"
147,Ingenieria de Tecnologias de Telecomunicacion,3,ST,2,SCA,Sistemas de codificacion y almacenamiento,"Lunes, 10 de Julio"
148,Ingenieria de Tecnologias de Telecomunicacion,3,ST,2,SR,Sistemas de radiocomunicacion,"Martes, 18 de Julio"
149,Ingenieria de Tecnologias de Telecomunicacion,3,ST,2,TDS,Tratamiento digital de senales,"Viernes, 14 de Julio"
150,Ingenieria de Tecnologias de Telecomunicacion,3,T,2,CP,Complementos de programacion,"Viernes, 7 de Julio"
151,Ingenieria de Tecnologias de Telecomunicacion,3,T,2,DAR,Desarrollo de aplicaciones en red,"Miercoles, 12 de Julio"
152,Ingenieria de Tecnologias de Telecomunicacion,3,T,2,GR,Gestion de redes,"Lunes, 10 de Julio"
153,Ingenieria de Tecnologias de Telecomunicacion,3,T,2,RIM,Redes inalambricas y movilidad,"Martes, 18 de Julio"
154,Ingenieria de Tecnologias de Telecomunicacion,3,T,2,SRC,Seguridad en redes de comunicacion,"Viernes, 14 de Julio"
155,Ingenieria de Tecnologias de Telecomunicacion,4,,2,AET,Arquitecturas Especializadas en Telecomunicaciones,"Jueves, 6 de Julio"
156,Ingenieria de Tecnologias de Telecomunicacion,4,,2,CAM,Complementos de Analisis Matematico,"Miercoles, 19 de Julio"
157,Ingenieria de Tecnologias de Telecomunicacion,4,,2,FAT,Fisica Aplicada a Telecomunicaciones,"Martes, 11 de Julio"
158,Ingenieria de Tecnologias de Telecomunicacion,4,,2,PVD,Procesamiento de Video Digital,"Martes, 18 de Julio"
159,Ingenieria de Tecnologias de Telecomunicacion,4,,2,PSETR,Programacion de Sistemas Empotrados y de Tiempo Real,"Jueves, 13 de Julio"
160,Ingenieria Informatica,1,,1,ALEM,Álgebra Lineal y Estructuras Matematicas,"Martes, 24 de Enero"
161,Ingenieria Informatica,1,,1,CA,Calculo,"Jueves, 19 de Enero"
162,Ingenieria Informatica,1,,1,FP,Fundamentos de Programacion,"Miercoles, 11 de Enero"
163,Ingenieria Informatica,1,,1,FS,Fundamentos del Software,"Viernes, 13 de Enero"
164,Ingenieria Informatica,1,,1,FFT,Fundamentos Fisicos y Tecnologicos,"Martes, 17 de Enero"
165,Ingenieria Informatica,2,,1,EC,Estructura de computadores,"Lunes, 23 de Enero"
166,Ingenieria Informatica,2,,1,ED,Estructura de Datos,"Miercoles, 25 de Enero"
167,Ingenieria Informatica,2,,1,PDOO,Programacion y Diseno Orientado a Objetos,"Viernes, 20 de Enero"
168,Ingenieria Informatica,2,,1,SCD,Sistemas Concurrentes y Distribuidos,"Miercoles, 18 de Enero"
169,Ingenieria Informatica,2,,1,SO,Sistemas Operativos,"Miercoles, 11 de Enero"
170,Ingenieria Informatica,3,,1,DDSI,Diseno y Desarrollo de Sistemas de Informacion,"Viernes, 20 de Enero"
171,Ingenieria Informatica,3,,1,FR,Fundamentos de Redes,"Viernes, 13 de Enero"
172,Ingenieria Informatica,3,,1,IG,Informatica Grafica,"Martes, 24 de Enero"
173,Ingenieria Informatica,3,,1,ISE,Ingenieria de Servidores,"Miercoles, 18 de Enero"
174,Ingenieria Informatica,3,,1,MC,Modelos de Computacion,"Lunes, 16 de Enero"
175,Ingenieria Informatica,4,CSI,1,NPI,Nuevos Paradigmas de Interaccion,"Viernes, 13 de Enero"
176,Ingenieria Informatica,4,CSI,1,PL,Procesadores de Lenguajes,"Lunes, 23 de Enero"
177,Ingenieria Informatica,4,CSI,1,VC,Vision por Computador,"Martes, 17 de Enero"
178,Ingenieria Informatica,4,CSI,1,PTC,Programacion Tecnica y Cientifica,"Miercoles, 25 de Enero"
179,Ingenieria Informatica,4,CSI,1,TIC,Teoria de la Informacion y la Codificacion,"Viernes, 20 de Enero"
180,Ingenieria Informatica,4,CSI,1,SS,Simulacion de Sistemas,"Miercoles, 11 de Enero"
181,Ingenieria Informatica,4,IC,1,CPD,Centros de Procesamiento de Datos,"Viernes, 13 de Enero"
182,Ingenieria Informatica,4,IC,1,SE,Sistemas Empotrados,"Lunes, 23 de Enero"
183,Ingenieria Informatica,4,IC,1,TR,Tecnologias de Red,"Martes, 17 de Enero"
184,Ingenieria Informatica,4,IC,1,II,Informatica Industrial,"Miercoles, 11 de Enero"
185,Ingenieria Informatica,4,IC,1,TE,Tecnologias Emergentes,"Viernes, 20 de Enero"
186,Ingenieria Informatica,4,IS,1,DBA,Desarrollo Basado en Agentes,"Viernes, 13 de Enero"
187,Ingenieria Informatica,4,IS,1,DGP,Direccion y Gestion de Proyectos,"Lunes, 23 de Enero"
188,Ingenieria Informatica,4,IS,1,MDA,Metodologias de Desarrollo Ágil,"Martes, 17 de Enero"
189,Ingenieria Informatica,4,IS,1,LP,Logica y Programacion,"Miercoles, 25 de Enero"
190,Ingenieria Informatica,4,IS,1,PGV,Programacion Grafica de Videojuegos,"Miercoles, 11 de Enero"
191,Ingenieria Informatica,4,IS,1,SSO,Seguridad en Sistemas Operativos,"Viernes, 20 de Enero"
192,Ingenieria Informatica,4,SI,1,BDD,Bases de Datos Distribuidas,"Viernes, 13 de Enero"
193,Ingenieria Informatica,4,SI,1,RI,Recuperacion de  Informacion,"Lunes, 23 de Enero"
194,Ingenieria Informatica,4,SI,1,IN,Inteligencia del Negocio,"Martes, 17 de Enero"
195,Ingenieria Informatica,4,SI,1,GRD,Gestion de Recursos Digitales,"Miercoles, 25 de Enero"
196,Ingenieria Informatica,4,SI,1,RSC,Redes y Sistemas Complejos,"Miercoles, 11 de Enero"
197,Ingenieria Informatica,4,SI,1,SIG,Sistemas de Informacion Geograficos,"Viernes, 20 de Enero"
198,Ingenieria Informatica,4,TI,1,SPSI,Seguridad y Proteccion de Sistemas Informaticos,"Viernes, 13 de Enero"
199,Ingenieria Informatica,4,TI,1,DAI,Desarrollo de Aplicaciones para Internet,"Lunes, 23 de Enero"
200,Ingenieria Informatica,4,TI,1,IV,Infraestructura Virtual,"Martes, 17 de Enero"
